Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 01:31:36.984000,MAG,0 days 00:01:26.237000,23.0,1.0,,,0 days 00:00:32.019000,0 days 00:00:28.950000,0 days 00:00:25.268000,0 days 01:30:42.770000,0 days 01:31:11.720000,0 days 01:31:36.988000,,284.0,276.0,303.0,True,MEDIUM,23.0,True,0 days 01:30:10.747000,2024-12-01 16:38:53.935,9.0,False
0 days 01:33:03.288000,MAG,0 days 00:01:26.304000,24.0,1.0,,,0 days 00:00:32.067000,0 days 00:00:29.176000,0 days 00:00:25.061000,0 days 01:32:09.055000,0 days 01:32:38.231000,0 days 01:33:03.292000,233.0,284.0,276.0,302.0,False,MEDIUM,24.0,True,0 days 01:31:36.984000,2024-12-01 16:40:20.172,8.0,False
0 days 01:34:29.394000,MAG,0 days 00:01:26.106000,25.0,1.0,,,0 days 00:00:32.077000,0 days 00:00:29.031000,0 days 00:00:24.998000,0 days 01:33:35.369000,0 days 01:34:04.400000,0 days 01:34:29.398000,235.0,284.0,276.0,303.0,True,MEDIUM,25.0,True,0 days 01:33:03.288000,2024-12-01 16:41:46.476,8.0,False
0 days 01:35:55.542000,MAG,0 days 00:01:26.148000,26.0,1.0,,,0 days 00:00:32.089000,0 days 00:00:29.044000,0 days 00:00:25.015000,0 days 01:35:01.487000,0 days 01:35:30.531000,0 days 01:35:55.546000,233.0,285.0,276.0,302.0,False,MEDIUM,26.0,True,0 days 01:34:29.394000,2024-12-01 16:43:12.582,8.0,False
0 days 01:37:25.592000,MAG,0 days 00:01:30.050000,27.0,1.0,,0 days 01:37:21.487000,0 days 00:00:32.083000,0 days 00:00:28.962000,0 days 00:00:29.005000,0 days 01:36:27.629000,0 days 01:36:56.591000,0 days 01:37:25.596000,234.0,284.0,,,False,MEDIUM,27.0,True,0 days 01:35:55.542000,2024-12-01 16:44:38.730,10.0,False
0 days 01:39:14.445000,MAG,0 days 00:01:48.853000,28.0,2.0,0 days 01:37:50.083000,,0 days 00:00:54.765000,0 days 00:00:28.955000,0 days 00:00:25.133000,0 days 01:38:20.361000,0 days 01:38:49.316000,0 days 01:39:14.449000,232.0,284.0,276.0,184.0,False,HARD,1.0,True,0 days 01:37:25.592000,2024-12-01 16:46:08.780,16.0,False
0 days 01:40:40.127000,MAG,0 days 00:01:25.682000,29.0,2.0,,,0 days 00:00:31.988000,0 days 00:00:28.769000,0 days 00:00:24.925000,0 days 01:39:46.437000,0 days 01:40:15.206000,0 days 01:40:40.131000,236.0,284.0,277.0,304.0,True,HARD,2.0,True,0 days 01:39:14.445000,2024-12-01 16:47:57.633,16.0,False
0 days 01:42:05.729000,MAG,0 days 00:01:25.602000,30.0,2.0,,,0 days 00:00:31.958000,0 days 00:00:28.727000,0 days 00:00:24.917000,0 days 01:41:12.089000,0 days 01:41:40.816000,0 days 01:42:05.733000,234.0,285.0,277.0,305.0,True,HARD,3.0,True,0 days 01:40:40.127000,2024-12-01 16:49:23.315,16.0,False
0 days 01:43:31.036000,MAG,0 days 00:01:25.307000,31.0,2.0,,,0 days 00:00:31.727000,0 days 00:00:28.722000,0 days 00:00:24.858000,0 days 01:42:37.460000,0 days 01:43:06.182000,0 days 01:43:31.040000,237.0,285.0,277.0,306.0,True,HARD,4.0,True,0 days 01:42:05.729000,2024-12-01 16:50:48.917,16.0,False
0 days 01:44:56.913000,MAG,0 days 00:01:25.877000,32.0,2.0,,,0 days 00:00:31.832000,0 days 00:00:28.899000,0 days 00:00:25.146000,0 days 01:44:02.872000,0 days 01:44:31.771000,0 days 01:44:56.917000,235.0,286.0,275.0,304.0,False,HARD,5.0,True,0 days 01:43:31.036000,2024-12-01 16:52:14.224,15.0,False
0 days 01:46:22.493000,MAG,0 days 00:01:25.580000,33.0,2.0,,,0 days 00:00:32.060000,0 days 00:00:28.789000,0 days 00:00:24.731000,0 days 01:45:28.977000,0 days 01:45:57.766000,0 days 01:46:22.497000,240.0,286.0,278.0,306.0,False,HARD,6.0,True,0 days 01:44:56.913000,2024-12-01 16:53:40.101,15.0,False
0 days 01:47:48.630000,MAG,0 days 00:01:26.137000,34.0,2.0,,,0 days 00:00:31.775000,0 days 00:00:28.915000,0 days 00:00:25.447000,0 days 01:46:54.272000,0 days 01:47:23.187000,0 days 01:47:48.634000,237.0,287.0,277.0,,False,HARD,7.0,True,0 days 01:46:22.493000,2024-12-01 16:55:05.681,14.0,False
0 days 01:49:49.281000,MAG,0 days 00:02:00.651000,35.0,2.0,,,0 days 00:00:46.169000,0 days 00:00:39.347000,0 days 00:00:35.135000,0 days 01:48:34.803000,0 days 01:49:14.150000,0 days 01:49:49.285000,222.0,192.0,217.0,142.0,False,HARD,8.0,True,0 days 01:47:48.630000,2024-12-01 16:56:31.818,13.0,False
0 days 01:51:54.807000,MAG,0 days 00:02:05.526000,36.0,2.0,,0 days 01:51:50.688000,0 days 00:00:46.145000,0 days 00:00:40.052000,0 days 00:00:39.329000,0 days 01:50:35.430000,0 days 01:51:15.482000,0 days 01:51:54.811000,201.0,125.0,,218.0,False,HARD,9.0,True,0 days 01:49:49.281000,2024-12-01 16:58:32.469,11.0,False
0 days 01:54:04.881000,MAG,0 days 00:02:10.074000,37.0,3.0,0 days 01:52:13.496000,0 days 01:53:59.843000,0 days 00:00:54.136000,0 days 00:00:33.331000,0 days 00:00:42.607000,0 days 01:52:48.947000,0 days 01:53:22.278000,0 days 01:54:04.885000,210.0,262.0,,174.0,False,HARD,10.0,False,0 days 01:51:54.807000,2024-12-01 17:00:37.995,11.0,False
0 days 01:56:31.657000,MAG,0 days 00:02:26.776000,38.0,4.0,0 days 01:54:33.191000,,0 days 00:01:02.659000,0 days 00:00:39.293000,0 days 00:00:44.824000,0 days 01:55:07.544000,0 days 01:55:46.837000,0 days 01:56:31.661000,225.0,236.0,224.0,171.0,False,HARD,11.0,False,0 days 01:54:04.881000,2024-12-01 17:02:48.069,11.0,False
0 days 01:58:43.678000,MAG,0 days 00:02:12.021000,39.0,4.0,,,0 days 00:00:47.015000,0 days 00:00:41.312000,0 days 00:00:43.694000,0 days 01:57:18.676000,0 days 01:57:59.988000,0 days 01:58:43.682000,81.0,127.0,279.0,267.0,False,HARD,12.0,False,0 days 01:56:31.657000,2024-12-01 17:05:14.845,10.0,False
0 days 02:00:36.719000,MAG,0 days 00:01:53.041000,40.0,4.0,,,0 days 00:00:33.574000,0 days 00:00:36.165000,0 days 00:00:43.302000,0 days 01:59:17.256000,0 days 01:59:53.421000,0 days 02:00:36.723000,232.0,71.0,188.0,310.0,False,HARD,13.0,False,0 days 01:58:43.678000,2024-12-01 17:07:26.866,10.0,False
0 days 02:02:50.259000,MAG,0 days 00:02:13.540000,41.0,4.0,,,0 days 00:00:37.548000,0 days 00:00:46.890000,0 days 00:00:49.102000,0 days 02:01:14.271000,0 days 02:02:01.161000,0 days 02:02:50.263000,208.0,245.0,226.0,261.0,False,HARD,14.0,False,0 days 02:00:36.719000,2024-12-01 17:09:19.907,10.0,False
