Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 01:43:40.178000,MAG,0 days 00:01:40.479000,26.0,2.0,,,0 days 00:00:26.940000,0 days 00:00:40.225000,0 days 00:00:33.314000,0 days 01:42:26.639000,0 days 01:43:06.864000,0 days 01:43:40.178000,210.0,183.0,201.0,305.0,False,HARD,9.0,True,0 days 01:41:59.699000,2024-10-20 19:48:37.297,12.0,False
0 days 01:45:20.304000,MAG,0 days 00:01:40.126000,27.0,2.0,,,0 days 00:00:26.799000,0 days 00:00:40.151000,0 days 00:00:33.176000,0 days 01:44:06.977000,0 days 01:44:47.128000,0 days 01:45:20.304000,212.0,184.0,201.0,306.0,True,HARD,10.0,True,0 days 01:43:40.178000,2024-10-20 19:50:17.776,10.0,False
0 days 01:47:01.827000,MAG,0 days 00:01:41.523000,28.0,2.0,,,0 days 00:00:26.834000,0 days 00:00:40.737000,0 days 00:00:33.952000,0 days 01:45:47.138000,0 days 01:46:27.875000,0 days 01:47:01.827000,213.0,184.0,202.0,308.0,False,HARD,11.0,True,0 days 01:45:20.304000,2024-10-20 19:51:57.902,10.0,False
0 days 01:48:42.077000,MAG,0 days 00:01:40.250000,29.0,2.0,,,0 days 00:00:26.706000,0 days 00:00:40.118000,0 days 00:00:33.426000,0 days 01:47:28.533000,0 days 01:48:08.651000,0 days 01:48:42.077000,211.0,184.0,201.0,306.0,False,HARD,12.0,True,0 days 01:47:01.827000,2024-10-20 19:53:39.425,10.0,False
0 days 01:50:22.846000,MAG,0 days 00:01:40.769000,30.0,2.0,,,0 days 00:00:26.888000,0 days 00:00:40.246000,0 days 00:00:33.635000,0 days 01:49:08.965000,0 days 01:49:49.211000,0 days 01:50:22.846000,,182.0,199.0,306.0,False,HARD,13.0,True,0 days 01:48:42.077000,2024-10-20 19:55:19.675,10.0,False
0 days 01:52:03.301000,MAG,0 days 00:01:40.455000,31.0,2.0,,,0 days 00:00:26.839000,0 days 00:00:40.265000,0 days 00:00:33.351000,0 days 01:50:49.685000,0 days 01:51:29.950000,0 days 01:52:03.301000,216.0,180.0,200.0,305.0,False,HARD,14.0,True,0 days 01:50:22.846000,2024-10-20 19:57:00.444,10.0,False
0 days 01:53:43.467000,MAG,0 days 00:01:40.166000,32.0,2.0,,,0 days 00:00:26.824000,0 days 00:00:39.989000,0 days 00:00:33.353000,0 days 01:52:30.125000,0 days 01:53:10.114000,0 days 01:53:43.467000,215.0,184.0,202.0,306.0,False,HARD,15.0,True,0 days 01:52:03.301000,2024-10-20 19:58:40.899,10.0,False
0 days 01:55:23.293000,MAG,0 days 00:01:39.826000,33.0,2.0,,,0 days 00:00:26.704000,0 days 00:00:40.004000,0 days 00:00:33.118000,0 days 01:54:10.171000,0 days 01:54:50.175000,0 days 01:55:23.293000,214.0,183.0,202.0,307.0,True,HARD,16.0,True,0 days 01:53:43.467000,2024-10-20 20:00:21.065,10.0,False
0 days 01:57:02.934000,MAG,0 days 00:01:39.641000,34.0,2.0,,,0 days 00:00:26.674000,0 days 00:00:40.030000,0 days 00:00:32.937000,0 days 01:55:49.967000,0 days 01:56:29.997000,0 days 01:57:02.934000,216.0,183.0,201.0,304.0,True,HARD,17.0,True,0 days 01:55:23.293000,2024-10-20 20:02:00.891,10.0,False
0 days 01:58:42.519000,MAG,0 days 00:01:39.585000,35.0,2.0,,,0 days 00:00:26.588000,0 days 00:00:39.962000,0 days 00:00:33.035000,0 days 01:57:29.522000,0 days 01:58:09.484000,0 days 01:58:42.519000,,183.0,201.0,304.0,True,HARD,18.0,True,0 days 01:57:02.934000,2024-10-20 20:03:40.532,10.0,False
0 days 02:00:22.305000,MAG,0 days 00:01:39.786000,36.0,2.0,,,0 days 00:00:26.614000,0 days 00:00:40.118000,0 days 00:00:33.054000,0 days 01:59:09.133000,0 days 01:59:49.251000,0 days 02:00:22.305000,214.0,182.0,201.0,303.0,False,HARD,19.0,True,0 days 01:58:42.519000,2024-10-20 20:05:20.117,10.0,False
0 days 02:02:02.786000,MAG,0 days 00:01:40.481000,37.0,2.0,,,0 days 00:00:26.927000,0 days 00:00:40.327000,0 days 00:00:33.227000,0 days 02:00:49.232000,0 days 02:01:29.559000,0 days 02:02:02.786000,211.0,183.0,202.0,305.0,False,HARD,20.0,True,0 days 02:00:22.305000,2024-10-20 20:06:59.903,9.0,False
0 days 02:03:42.629000,MAG,0 days 00:01:39.843000,38.0,2.0,,0 days 02:03:41.728000,0 days 00:00:26.575000,0 days 00:00:39.839000,0 days 00:00:33.429000,0 days 02:02:29.361000,0 days 02:03:09.200000,0 days 02:03:42.629000,214.0,184.0,,309.0,False,HARD,21.0,True,0 days 02:02:02.786000,2024-10-20 20:08:40.384,9.0,False
0 days 02:05:41.246000,MAG,0 days 00:01:58.617000,39.0,3.0,0 days 02:04:05.738000,,0 days 00:00:46.590000,0 days 00:00:39.400000,0 days 00:00:32.627000,0 days 02:04:29.219000,0 days 02:05:08.619000,0 days 02:05:41.246000,217.0,184.0,204.0,303.0,False,MEDIUM,1.0,True,0 days 02:03:42.629000,2024-10-20 20:10:20.227,13.0,False
0 days 02:09:00.231000,MAG,0 days 00:01:40.010000,41.0,3.0,,,0 days 00:00:27.889000,0 days 00:00:39.642000,0 days 00:00:32.479000,0 days 02:07:48.110000,0 days 02:08:27.752000,0 days 02:09:00.231000,209.0,182.0,205.0,309.0,False,MEDIUM,3.0,True,0 days 02:07:20.221000,2024-10-20 20:13:57.819,12.0,False
0 days 02:10:38.884000,MAG,0 days 00:01:38.653000,42.0,3.0,,,0 days 00:00:26.424000,0 days 00:00:39.549000,0 days 00:00:32.680000,0 days 02:09:26.655000,0 days 02:10:06.204000,0 days 02:10:38.884000,216.0,185.0,203.0,308.0,True,MEDIUM,4.0,True,0 days 02:09:00.231000,2024-10-20 20:15:37.829,12.0,False
