Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
PIA,1.0,SOFT,3.0,3.0,0 days 00:22:32.659000,,4,Q
PIA,2.0,SOFT,1.0,4.0,,0 days 00:39:00.877000,4,Q
PIA,2.0,SOFT,2.0,5.0,,,4,Q
PIA,2.0,SOFT,3.0,6.0,0 days 00:44:19.287000,,4,Q
PIA,3.0,SOFT,1.0,7.0,,0 days 01:00:58.222000,4,Q
PIA,3.0,SOFT,2.0,8.0,,,4,Q
PIA,3.0,SOFT,3.0,9.0,0 days 01:06:29.421000,,4,Q
PIA,4.0,SOFT,1.0,10.0,,0 days 01:09:07.155000,4,Q
PIA,4.0,SOFT,2.0,11.0,,,4,Q
PIA,4.0,SOFT,3.0,12.0,0 days 01:14:47.289000,,4,Q
HAM,1.0,SOFT,1.0,1.0,,0 days 00:16:38.994000,4,Q
HAM,1.0,SOFT,2.0,2.0,,,4,Q
HAM,1.0,SOFT,3.0,3.0,0 days 00:22:19.599000,,4,Q
HAM,2.0,SOFT,4.0,4.0,,0 days 00:39:16.839000,4,Q
HAM,2.0,SOFT,5.0,5.0,,,4,Q
HAM,2.0,SOFT,6.0,6.0,0 days 00:44:35.995000,,4,Q
HAM,3.0,SOFT,1.0,7.0,,0 days 00:48:20.296000,4,Q
HAM,3.0,SOFT,2.0,8.0,,,4,Q
HAM,3.0,SOFT,3.0,9.0,0 days 00:53:44.290000,,4,Q
HAM,4.0,SOFT,1.0,10.0,,0 days 01:00:10.528000,4,Q
HAM,4.0,SOFT,2.0,11.0,,,4,Q
HAM,4.0,SOFT,3.0,12.0,0 days 01:05:25.412000,,4,Q
HAM,5.0,SOFT,1.0,13.0,,0 days 01:09:30.804000,4,Q
HAM,5.0,SOFT,2.0,14.0,,,4,Q
HAM,5.0,SOFT,3.0,15.0,0 days 01:15:01.305000,,4,Q
LEC,1.0,SOFT,1.0,1.0,,0 days 00:16:33.128000,4,Q
LEC,1.0,SOFT,2.0,2.0,,,4,Q
LEC,1.0,SOFT,3.0,3.0,0 days 00:21:57.807000,,4,Q
LEC,2.0,SOFT,1.0,4.0,,0 days 00:26:21.976000,4,Q
LEC,2.0,SOFT,2.0,5.0,,,4,Q
LEC,2.0,SOFT,3.0,6.0,0 days 00:31:52.566000,,4,Q
LEC,3.0,SOFT,1.0,7.0,,0 days 00:40:02.355000,4,Q
LEC,3.0,SOFT,2.0,8.0,,,4,Q
LEC,3.0,SOFT,3.0,9.0,0 days 00:45:51.284000,,4,Q
LEC,4.0,SOFT,1.0,10.0,,0 days 01:05:34.971000,4,Q
LEC,4.0,SOFT,2.0,11.0,,,4,Q
LEC,4.0,SOFT,3.0,12.0,0 days 01:10:50.614000,,4,Q
RUS,1.0,SOFT,1.0,1.0,,0 days 00:16:49.475000,4,Q
RUS,1.0,SOFT,2.0,2.0,,,4,Q
RUS,1.0,SOFT,3.0,3.0,0 days 00:22:29.453000,,4,Q
RUS,2.0,SOFT,4.0,4.0,,0 days 00:39:32.317000,4,Q
RUS,2.0,SOFT,5.0,5.0,,,4,Q
RUS,2.0,SOFT,6.0,6.0,0 days 00:45:24.468000,,4,Q
RUS,3.0,SOFT,1.0,7.0,,0 days 00:48:25.811000,4,Q
