Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
SAI,1.0,MEDIUM,1.0,1.0,,0 days 00:13:56.682000,20,Q
SAI,1.0,MEDIUM,2.0,2.0,,,20,Q
SAI,1.0,MEDIUM,3.0,3.0,0 days 00:18:46.859000,,20,Q
SAI,2.0,MEDIUM,4.0,4.0,,0 days 00:19:10.231000,20,Q
SAI,2.0,MEDIUM,5.0,5.0,,,20,Q
SAI,2.0,MEDIUM,6.0,6.0,0 days 00:23:52.101000,,20,Q
SAI,3.0,SOFT,1.0,7.0,,0 days 00:26:42.986000,20,Q
SAI,3.0,SOFT,2.0,8.0,,,20,Q
SAI,3.0,SOFT,3.0,9.0,0 days 00:31:27.423000,,20,Q
SAI,4.0,SOFT,1.0,10.0,,0 days 00:38:48.699000,20,Q
SAI,4.0,SOFT,2.0,11.0,,,20,Q
SAI,4.0,SOFT,3.0,12.0,0 days 00:43:20.977000,,20,Q
SAI,5.0,SOFT,1.0,13.0,,0 days 00:47:50.885000,20,Q
SAI,5.0,SOFT,2.0,14.0,,,20,Q
SAI,5.0,SOFT,3.0,15.0,0 days 00:52:21.085000,,20,Q
SAI,6.0,SOFT,1.0,16.0,,0 days 01:07:00.519000,20,Q
SAI,6.0,SOFT,2.0,17.0,,,20,Q
SAI,6.0,SOFT,3.0,18.0,0 days 01:11:41.777000,,20,Q
SAI,7.0,SOFT,1.0,19.0,,0 days 01:14:40.020000,20,Q
SAI,7.0,SOFT,2.0,20.0,,,20,Q
SAI,7.0,SOFT,3.0,21.0,0 days 01:19:21.560000,,20,Q
VER,1.0,SOFT,1.0,1.0,,0 days 00:16:53.243000,20,Q
VER,1.0,SOFT,2.0,2.0,,,20,Q
VER,1.0,SOFT,3.0,3.0,0 days 00:21:28.176000,,20,Q
VER,2.0,SOFT,1.0,4.0,,0 days 00:25:39.746000,20,Q
VER,2.0,SOFT,2.0,5.0,,,20,Q
VER,2.0,SOFT,3.0,6.0,0 days 00:30:12.179000,,20,Q
VER,3.0,SOFT,1.0,7.0,,0 days 00:38:11.340000,20,Q
VER,3.0,SOFT,2.0,8.0,,,20,Q
VER,3.0,SOFT,3.0,9.0,0 days 00:42:46.206000,,20,Q
VER,4.0,SOFT,1.0,10.0,,0 days 00:47:17.905000,20,Q
VER,4.0,SOFT,2.0,11.0,,,20,Q
VER,4.0,SOFT,3.0,12.0,0 days 00:51:49.628000,,20,Q
VER,5.0,SOFT,1.0,13.0,,0 days 01:06:08.868000,20,Q
VER,5.0,SOFT,2.0,14.0,,,20,Q
VER,5.0,SOFT,3.0,15.0,0 days 01:10:37.072000,,20,Q
VER,6.0,SOFT,1.0,16.0,,0 days 01:14:52.420000,20,Q
VER,6.0,SOFT,2.0,17.0,,,20,Q
VER,6.0,SOFT,3.0,18.0,0 days 01:19:29.772000,,20,Q
NOR,1.0,MEDIUM,1.0,1.0,,0 days 00:14:40.525000,20,Q
NOR,1.0,MEDIUM,2.0,2.0,,,20,Q
NOR,1.0,MEDIUM,3.0,3.0,0 days 00:19:21.958000,,20,Q
NOR,2.0,SOFT,1.0,4.0,,0 days 00:23:15.182000,20,Q
NOR,2.0,SOFT,2.0,5.0,,,20,Q
NOR,2.0,SOFT,3.0,6.0,0 days 00:27:43.203000,,20,Q
NOR,3.0,SOFT,1.0,7.0,,0 days 00:42:27.663000,20,Q
NOR,3.0,SOFT,2.0,8.0,,,20,Q
NOR,3.0,SOFT,3.0,9.0,0 days 00:46:56.834000,,20,Q
NOR,4.0,SOFT,1.0,10.0,,0 days 01:06:24.607000,20,Q
NOR,4.0,SOFT,2.0,11.0,,,20,Q
NOR,4.0,SOFT,3.0,12.0,0 days 01:10:48.829000,,20,Q
NOR,5.0,SOFT,1.0,13.0,,0 days 01:14:55.340000,20,Q
NOR,5.0,SOFT,2.0,14.0,,,20,Q
NOR,5.0,SOFT,3.0,15.0,0 days 01:19:41.203000,,20,Q
LEC,1.0,MEDIUM,1.0,1.0,,0 days 00:13:50.719000,20,Q
LEC,1.0,MEDIUM,2.0,2.0,,,20,Q
LEC,1.0,MEDIUM,3.0,3.0,0 days 00:18:37.275000,,20,Q
