Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
VER,1.0,SOFT,1.0,1.0,,0 days 00:20:10.428000,1,Q
VER,1.0,SOFT,2.0,2.0,,,1,Q
VER,1.0,SOFT,3.0,3.0,0 days 00:25:58.003000,,1,Q
VER,2.0,SOFT,4.0,4.0,,0 days 00:29:18.091000,1,Q
VER,2.0,SOFT,5.0,5.0,,,1,Q
VER,2.0,SOFT,6.0,6.0,0 days 00:34:21.124000,,1,Q
VER,3.0,SOFT,1.0,7.0,,0 days 00:41:42.542000,1,Q
VER,3.0,SOFT,2.0,8.0,,,1,Q
VER,3.0,SOFT,3.0,9.0,0 days 00:47:05.349000,,1,Q
VER,4.0,SOFT,4.0,10.0,,0 days 00:50:08.844000,1,Q
VER,4.0,SOFT,5.0,11.0,0 days 00:53:52.588000,,1,Q
VER,5.0,SOFT,1.0,12.0,,0 days 01:02:05.966000,1,Q
VER,5.0,SOFT,2.0,13.0,,,1,Q
VER,5.0,SOFT,3.0,14.0,0 days 01:07:14.256000,,1,Q
VER,6.0,SOFT,1.0,15.0,,0 days 01:10:42.410000,1,Q
VER,6.0,SOFT,2.0,16.0,,,1,Q
VER,6.0,SOFT,3.0,17.0,0 days 01:16:00.132000,,1,Q
LEC,1.0,MEDIUM,1.0,1.0,,0 days 00:13:41.044000,1,Q
LEC,1.0,MEDIUM,2.0,2.0,,,1,Q
LEC,1.0,MEDIUM,3.0,3.0,0 days 00:18:58.523000,,1,Q
LEC,2.0,SOFT,1.0,4.0,,0 days 00:21:11.035000,1,Q
LEC,2.0,SOFT,2.0,5.0,,,1,Q
LEC,2.0,SOFT,3.0,6.0,0 days 00:26:33.322000,,1,Q
LEC,3.0,SOFT,1.0,7.0,0 days 00:31:08.803000,0 days 00:29:02.879000,1,Q
LEC,4.0,SOFT,4.0,8.0,,0 days 00:41:13.333000,1,Q
LEC,4.0,SOFT,5.0,9.0,,,1,Q
LEC,4.0,SOFT,6.0,10.0,0 days 00:46:42.798000,,1,Q
LEC,5.0,SOFT,1.0,11.0,,0 days 00:49:52.962000,1,Q
LEC,5.0,SOFT,2.0,12.0,,,1,Q
LEC,5.0,SOFT,3.0,13.0,0 days 00:55:33.277000,,1,Q
LEC,6.0,SOFT,2.0,14.0,,0 days 01:02:43.837000,1,Q
LEC,6.0,SOFT,3.0,15.0,,,1,Q
LEC,6.0,SOFT,4.0,16.0,0 days 01:07:56.760000,,1,Q
LEC,7.0,SOFT,1.0,17.0,,0 days 01:10:53.342000,1,Q
LEC,7.0,SOFT,2.0,18.0,,,1,Q
LEC,7.0,SOFT,3.0,19.0,0 days 01:16:16.156000,,1,Q
RUS,1.0,SOFT,1.0,1.0,,0 days 00:20:18.012000,1,Q
RUS,1.0,SOFT,2.0,2.0,,,1,Q
RUS,1.0,SOFT,3.0,3.0,0 days 00:26:03.705000,,1,Q
RUS,2.0,SOFT,4.0,4.0,,0 days 00:28:38.660000,1,Q
RUS,2.0,SOFT,5.0,5.0,0 days 00:33:01.938000,,1,Q
RUS,3.0,SOFT,6.0,6.0,,0 days 00:42:09.968000,1,Q
