Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
VER,1.0,SOFT,4.0,1.0,,0 days 00:13:22.886000,11,Q
VER,1.0,SOFT,5.0,2.0,,,11,Q
VER,1.0,SOFT,6.0,3.0,0 days 00:17:13.602000,,11,Q
VER,2.0,SOFT,4.0,4.0,,0 days 00:19:53.125000,11,Q
VER,2.0,SOFT,5.0,5.0,,,11,Q
VER,2.0,SOFT,6.0,6.0,0 days 00:23:42.831000,,11,Q
VER,3.0,SOFT,1.0,7.0,,0 days 00:41:53.789000,11,Q
VER,3.0,SOFT,2.0,8.0,,,11,Q
VER,3.0,SOFT,3.0,9.0,0 days 00:45:48.985000,,11,Q
VER,4.0,SOFT,1.0,10.0,,0 days 00:50:24.403000,11,Q
VER,4.0,SOFT,2.0,11.0,,,11,Q
VER,4.0,SOFT,3.0,12.0,0 days 00:54:32.327000,,11,Q
VER,5.0,SOFT,1.0,13.0,,0 days 01:03:12.193000,11,Q
VER,5.0,SOFT,2.0,14.0,,,11,Q
VER,5.0,SOFT,3.0,15.0,0 days 01:07:13.566000,,11,Q
VER,6.0,SOFT,1.0,16.0,,0 days 01:10:14.387000,11,Q
VER,6.0,SOFT,2.0,17.0,,,11,Q
VER,6.0,SOFT,3.0,18.0,0 days 01:14:22.851000,,11,Q
NOR,1.0,SOFT,4.0,1.0,,0 days 00:14:33.494000,11,Q
NOR,1.0,SOFT,5.0,2.0,,,11,Q
NOR,1.0,SOFT,6.0,3.0,0 days 00:18:38.575000,,11,Q
NOR,2.0,SOFT,1.0,4.0,,0 days 00:22:25.492000,11,Q
NOR,2.0,SOFT,2.0,5.0,,,11,Q
NOR,2.0,SOFT,3.0,6.0,0 days 00:26:34.954000,,11,Q
NOR,3.0,SOFT,4.0,7.0,,0 days 00:27:03.568000,11,Q
NOR,3.0,SOFT,5.0,8.0,,,11,Q
NOR,3.0,SOFT,6.0,9.0,0 days 00:31:07.197000,,11,Q
NOR,4.0,SOFT,1.0,10.0,,0 days 00:42:50.222000,11,Q
NOR,4.0,SOFT,2.0,11.0,,,11,Q
NOR,4.0,SOFT,3.0,12.0,0 days 00:46:55.438000,,11,Q
NOR,5.0,SOFT,4.0,13.0,,0 days 00:51:19.243000,11,Q
NOR,5.0,SOFT,5.0,14.0,0 days 00:54:18.566000,,11,Q
NOR,6.0,SOFT,1.0,15.0,,0 days 01:03:26.373000,11,Q
NOR,6.0,SOFT,2.0,16.0,,,11,Q
NOR,6.0,SOFT,3.0,17.0,0 days 01:07:25.350000,,11,Q
NOR,7.0,SOFT,1.0,18.0,,0 days 01:10:58.646000,11,Q
NOR,7.0,SOFT,2.0,19.0,,,11,Q
NOR,7.0,SOFT,3.0,20.0,0 days 01:15:01.832000,,11,Q
RUS,1.0,SOFT,4.0,1.0,,0 days 00:18:16.882000,11,Q
RUS,1.0,SOFT,5.0,2.0,,,11,Q
RUS,1.0,SOFT,6.0,3.0,0 days 00:22:17.759000,,11,Q
RUS,2.0,SOFT,3.0,4.0,,0 days 00:27:30.596000,11,Q
RUS,2.0,SOFT,4.0,5.0,,,11,Q
RUS,2.0,SOFT,5.0,6.0,0 days 00:31:42.103000,,11,Q
RUS,3.0,SOFT,1.0,7.0,,0 days 00:42:17.947000,11,Q
RUS,3.0,SOFT,2.0,8.0,,,11,Q
RUS,3.0,SOFT,3.0,9.0,0 days 00:46:25.152000,,11,Q
RUS,4.0,SOFT,1.0,10.0,,0 days 00:50:13.812000,11,Q
RUS,4.0,SOFT,2.0,11.0,,,11,Q
RUS,4.0,SOFT,3.0,12.0,0 days 00:54:29.413000,,11,Q
RUS,5.0,SOFT,1.0,13.0,,0 days 01:04:14.581000,11,Q
RUS,5.0,SOFT,2.0,14.0,,,11,Q
RUS,5.0,SOFT,3.0,15.0,0 days 01:08:16.230000,,11,Q
RUS,6.0,SOFT,1.0,16.0,,0 days 01:11:34.146000,11,Q
RUS,6.0,SOFT,2.0,17.0,,,11,Q
RUS,6.0,SOFT,3.0,18.0,0 days 01:15:51.916000,,11,Q
SAI,1.0,SOFT,4.0,1.0,,0 days 00:14:05.662000,11,Q
SAI,1.0,SOFT,5.0,2.0,,,11,Q
SAI,1.0,SOFT,6.0,3.0,0 days 00:18:19.957000,,11,Q
SAI,2.0,SOFT,1.0,4.0,,0 days 00:20:09.194000,11,Q
SAI,2.0,SOFT,2.0,5.0,,,11,Q
SAI,2.0,SOFT,3.0,6.0,0 days 00:24:05.582000,,11,Q
SAI,3.0,SOFT,4.0,7.0,,0 days 00:38:38.544000,11,Q
SAI,3.0,SOFT,5.0,8.0,,,11,Q
SAI,3.0,SOFT,6.0,9.0,0 days 00:42:43.643000,,11,Q
SAI,4.0,SOFT,1.0,10.0,,0 days 00:44:24.200000,11,Q
SAI,4.0,SOFT,2.0,11.0,,,11,Q
SAI,4.0,SOFT,3.0,12.0,0 days 00:48:24.913000,,11,Q
SAI,5.0,SOFT,1.0,13.0,,0 days 01:02:53.521000,11,Q
SAI,5.0,SOFT,2.0,14.0,,,11,Q
SAI,5.0,SOFT,3.0,15.0,0 days 01:06:52.856000,,11,Q
SAI,6.0,SOFT,1.0,16.0,,0 days 01:10:27.015000,11,Q
SAI,6.0,SOFT,2.0,17.0,,,11,Q
SAI,6.0,SOFT,3.0,18.0,0 days 01:14:45.691000,,11,Q
HAM,1.0,SOFT,4.0,1.0,,0 days 00:18:11.252000,11,Q
HAM,1.0,SOFT,5.0,2.0,,,11,Q
HAM,1.0,SOFT,6.0,3.0,0 days 00:22:11.973000,,11,Q
HAM,2.0,SOFT,1.0,4.0,,0 days 00:27:24.511000,11,Q
HAM,2.0,SOFT,2.0,5.0,,,11,Q
HAM,2.0,SOFT,3.0,6.0,0 days 00:31:37.675000,,11,Q
HAM,3.0,SOFT,1.0,7.0,,0 days 00:42:05.672000,11,Q
HAM,3.0,SOFT,2.0,8.0,,,11,Q
HAM,3.0,SOFT,3.0,9.0,0 days 00:46:06.505000,,11,Q
HAM,4.0,SOFT,1.0,10.0,,0 days 00:49:58.008000,11,Q
HAM,4.0,SOFT,2.0,11.0,,,11,Q
HAM,4.0,SOFT,3.0,12.0,0 days 00:54:07.837000,,11,Q
HAM,5.0,SOFT,1.0,13.0,,0 days 01:04:07.115000,11,Q
HAM,5.0,SOFT,2.0,14.0,,,11,Q
HAM,5.0,SOFT,3.0,15.0,0 days 01:07:59.723000,,11,Q
HAM,6.0,SOFT,1.0,16.0,,0 days 01:11:21.651000,11,Q
HAM,6.0,SOFT,2.0,17.0,,,11,Q
HAM,6.0,SOFT,3.0,18.0,0 days 01:15:37.579000,,11,Q
LEC,1.0,SOFT,3.0,1.0,,0 days 00:14:22.660000,11,Q
LEC,1.0,SOFT,4.0,2.0,,,11,Q
LEC,1.0,SOFT,5.0,3.0,0 days 00:18:27.951000,,11,Q
LEC,2.0,SOFT,1.0,4.0,,0 days 00:20:20.979000,11,Q
LEC,2.0,SOFT,2.0,5.0,,,11,Q
LEC,2.0,SOFT,3.0,6.0,0 days 00:24:23.813000,,11,Q
LEC,3.0,SOFT,1.0,7.0,,0 days 00:28:38.001000,11,Q
LEC,3.0,SOFT,2.0,8.0,0 days 00:31:52.284000,,11,Q
LEC,4.0,SOFT,4.0,9.0,,0 days 00:38:47.009000,11,Q
LEC,4.0,SOFT,5.0,10.0,,,11,Q
LEC,4.0,SOFT,6.0,11.0,0 days 00:42:46.936000,,11,Q
LEC,5.0,SOFT,3.0,12.0,,0 days 00:44:36.883000,11,Q
LEC,5.0,SOFT,4.0,13.0,,,11,Q
LEC,5.0,SOFT,5.0,14.0,0 days 00:48:38.639000,,11,Q
LEC,6.0,SOFT,1.0,15.0,,0 days 00:51:11.484000,11,Q
LEC,6.0,SOFT,2.0,16.0,0 days 00:54:04.584000,,11,Q
LEC,7.0,SOFT,3.0,17.0,,0 days 01:03:32.374000,11,Q
LEC,7.0,SOFT,4.0,18.0,,,11,Q
LEC,7.0,SOFT,5.0,19.0,0 days 01:07:29.264000,,11,Q
LEC,8.0,SOFT,1.0,20.0,,0 days 01:11:12.114000,11,Q
LEC,8.0,SOFT,2.0,21.0,,,11,Q
LEC,8.0,SOFT,3.0,22.0,0 days 01:15:39.722000,,11,Q
PIA,1.0,SOFT,4.0,1.0,,0 days 00:14:37.782000,11,Q
PIA,1.0,SOFT,5.0,2.0,,,11,Q
PIA,1.0,SOFT,6.0,3.0,0 days 00:18:51.020000,,11,Q
