Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
NOR,1.0,SOFT,1.0,1.0,,0 days 00:16:11.324000,13,Q
NOR,1.0,SOFT,2.0,2.0,,,13,Q
NOR,1.0,SOFT,3.0,3.0,,,13,Q
NOR,1.0,SOFT,4.0,4.0,,,13,Q
NOR,1.0,SOFT,5.0,5.0,,,13,Q
NOR,1.0,SOFT,6.0,6.0,,,13,Q
NOR,1.0,SOFT,7.0,7.0,0 days 00:27:26.272000,,13,Q
NOR,2.0,SOFT,1.0,8.0,,0 days 00:41:27.935000,13,Q
NOR,2.0,SOFT,2.0,9.0,0 days 00:44:41.274000,,13,Q
NOR,3.0,SOFT,3.0,10.0,,0 days 00:54:51.845000,13,Q
NOR,3.0,SOFT,4.0,11.0,,,13,Q
NOR,3.0,SOFT,5.0,12.0,0 days 00:59:18.730000,,13,Q
NOR,4.0,SOFT,1.0,13.0,,0 days 01:03:01.801000,13,Q
NOR,4.0,SOFT,2.0,14.0,,,13,Q
NOR,4.0,SOFT,3.0,15.0,0 days 01:07:36.727000,,13,Q
NOR,5.0,SOFT,1.0,16.0,,0 days 01:14:54.682000,13,Q
NOR,5.0,SOFT,2.0,17.0,,,13,Q
NOR,5.0,SOFT,3.0,18.0,0 days 01:19:34.550000,,13,Q
NOR,6.0,SOFT,4.0,19.0,,0 days 01:21:34.987000,13,Q
NOR,6.0,SOFT,5.0,20.0,0 days 01:25:16.289000,,13,Q
NOR,7.0,SOFT,6.0,21.0,,0 days 01:35:46.963000,13,Q
NOR,7.0,SOFT,7.0,22.0,0 days 01:38:51.181000,,13,Q
PIA,1.0,SOFT,1.0,1.0,,0 days 00:16:08.159000,13,Q
PIA,1.0,SOFT,2.0,2.0,,,13,Q
PIA,1.0,SOFT,3.0,3.0,,,13,Q
PIA,1.0,SOFT,4.0,4.0,,,13,Q
PIA,1.0,SOFT,5.0,5.0,,,13,Q
PIA,1.0,SOFT,6.0,6.0,,,13,Q
PIA,1.0,SOFT,7.0,7.0,0 days 00:27:31.176000,,13,Q
PIA,2.0,SOFT,1.0,8.0,0 days 00:43:25.113000,0 days 00:41:38.614000,13,Q
PIA,3.0,SOFT,2.0,9.0,,0 days 00:53:54.160000,13,Q
PIA,3.0,SOFT,3.0,10.0,,,13,Q
PIA,3.0,SOFT,4.0,11.0,0 days 00:58:31.819000,,13,Q
PIA,4.0,SOFT,5.0,12.0,,0 days 01:03:37.813000,13,Q
PIA,4.0,SOFT,6.0,13.0,0 days 01:06:59.257000,,13,Q
PIA,5.0,SOFT,1.0,14.0,,0 days 01:13:51.179000,13,Q
PIA,5.0,SOFT,2.0,15.0,,,13,Q
PIA,5.0,SOFT,3.0,16.0,0 days 01:18:26.746000,,13,Q
PIA,6.0,SOFT,1.0,17.0,,0 days 01:19:50.887000,13,Q
PIA,6.0,SOFT,2.0,18.0,,,13,Q
PIA,6.0,SOFT,3.0,19.0,0 days 01:24:39.528000,,13,Q
PIA,7.0,SOFT,4.0,20.0,,0 days 01:36:11.607000,13,Q
PIA,7.0,SOFT,5.0,21.0,0 days 01:39:08.753000,,13,Q
VER,1.0,SOFT,1.0,1.0,,0 days 00:16:52.576000,13,Q
VER,1.0,SOFT,2.0,2.0,,,13,Q
VER,1.0,SOFT,3.0,3.0,,,13,Q
VER,1.0,SOFT,4.0,4.0,,,13,Q
VER,1.0,SOFT,5.0,5.0,,,13,Q
VER,1.0,SOFT,6.0,6.0,0 days 00:26:02.509000,,13,Q
VER,2.0,SOFT,7.0,7.0,,0 days 00:40:28.526000,13,Q
VER,2.0,SOFT,8.0,8.0,,,13,Q
VER,2.0,SOFT,9.0,9.0,0 days 00:45:01.756000,,13,Q
VER,3.0,SOFT,1.0,10.0,,0 days 00:53:12.573000,13,Q
VER,3.0,SOFT,2.0,11.0,,,13,Q
VER,3.0,SOFT,3.0,12.0,0 days 00:57:59.150000,,13,Q
VER,4.0,SOFT,4.0,13.0,,0 days 01:03:30.416000,13,Q
VER,4.0,SOFT,5.0,14.0,,,13,Q
VER,4.0,SOFT,6.0,15.0,0 days 01:08:09.424000,,13,Q
VER,5.0,SOFT,1.0,16.0,,0 days 01:13:42.538000,13,Q
VER,5.0,SOFT,2.0,17.0,,,13,Q
VER,5.0,SOFT,3.0,18.0,0 days 01:18:19.563000,,13,Q
VER,6.0,SOFT,1.0,19.0,,0 days 01:20:14.272000,13,Q
VER,6.0,SOFT,2.0,20.0,,,13,Q
VER,6.0,SOFT,3.0,21.0,0 days 01:25:17.849000,,13,Q
SAI,1.0,SOFT,1.0,1.0,,0 days 00:16:24.457000,13,Q
SAI,1.0,SOFT,2.0,2.0,,,13,Q
SAI,1.0,SOFT,3.0,3.0,,,13,Q
SAI,1.0,SOFT,4.0,4.0,,,13,Q
SAI,1.0,SOFT,5.0,5.0,,,13,Q
SAI,1.0,SOFT,6.0,6.0,0 days 00:26:21.909000,,13,Q
SAI,2.0,SOFT,7.0,7.0,,0 days 00:39:02.546000,13,Q
SAI,2.0,SOFT,8.0,8.0,,,13,Q
SAI,2.0,SOFT,9.0,9.0,,,13,Q
SAI,2.0,SOFT,10.0,10.0,0 days 00:45:18.686000,,13,Q
SAI,3.0,SOFT,11.0,11.0,,0 days 00:50:42.114000,13,Q
SAI,3.0,SOFT,12.0,12.0,,,13,Q
SAI,3.0,SOFT,13.0,13.0,0 days 00:55:03.918000,,13,Q
SAI,4.0,SOFT,1.0,14.0,,0 days 00:56:02.185000,13,Q
SAI,4.0,SOFT,2.0,15.0,,,13,Q
SAI,4.0,SOFT,3.0,16.0,0 days 01:00:26.456000,,13,Q
SAI,5.0,SOFT,4.0,17.0,,0 days 01:03:21.715000,13,Q
SAI,5.0,SOFT,5.0,18.0,,,13,Q
SAI,5.0,SOFT,6.0,19.0,0 days 01:08:00.797000,,13,Q
SAI,6.0,SOFT,1.0,20.0,,0 days 01:13:55.981000,13,Q
SAI,6.0,SOFT,2.0,21.0,,,13,Q
SAI,6.0,SOFT,3.0,22.0,0 days 01:18:27.940000,,13,Q
SAI,7.0,SOFT,1.0,23.0,,0 days 01:20:00.790000,13,Q
SAI,7.0,SOFT,2.0,24.0,,,13,Q
SAI,7.0,SOFT,3.0,25.0,0 days 01:25:14.824000,,13,Q
SAI,8.0,SOFT,4.0,26.0,0 days 01:37:56.736000,0 days 01:36:21.665000,13,Q
HAM,1.0,SOFT,1.0,1.0,,0 days 00:17:19.315000,13,Q
HAM,1.0,SOFT,2.0,2.0,,,13,Q
HAM,1.0,SOFT,3.0,3.0,,,13,Q
HAM,1.0,SOFT,4.0,4.0,,,13,Q
HAM,1.0,SOFT,5.0,5.0,0 days 00:24:52.561000,,13,Q
HAM,2.0,SOFT,6.0,6.0,,0 days 00:39:45.191000,13,Q
HAM,2.0,SOFT,7.0,7.0,,,13,Q
HAM,2.0,SOFT,8.0,8.0,,,13,Q
HAM,2.0,SOFT,9.0,9.0,0 days 00:46:08.029000,,13,Q
HAM,3.0,SOFT,10.0,10.0,,0 days 00:53:05.913000,13,Q
HAM,3.0,SOFT,11.0,11.0,,,13,Q
HAM,3.0,SOFT,12.0,12.0,0 days 00:57:28.535000,,13,Q
HAM,4.0,SOFT,1.0,13.0,,0 days 01:01:52.376000,13,Q
HAM,4.0,SOFT,2.0,14.0,,,13,Q
HAM,4.0,SOFT,3.0,15.0,0 days 01:06:23.148000,,13,Q
HAM,5.0,SOFT,1.0,16.0,,0 days 01:14:06.909000,13,Q
HAM,5.0,SOFT,2.0,17.0,,,13,Q
HAM,5.0,SOFT,3.0,18.0,0 days 01:18:40.394000,,13,Q
HAM,6.0,SOFT,1.0,19.0,,0 days 01:19:58.071000,13,Q
HAM,6.0,SOFT,2.0,20.0,,,13,Q
HAM,6.0,SOFT,3.0,21.0,0 days 01:25:03.130000,,13,Q
HAM,7.0,SOFT,4.0,22.0,,0 days 01:35:56.449000,13,Q
HAM,7.0,SOFT,5.0,23.0,,,13,Q
HAM,7.0,SOFT,6.0,24.0,0 days 01:40:34.074000,,13,Q
LEC,1.0,SOFT,1.0,1.0,,0 days 00:16:21.773000,13,Q
LEC,1.0,SOFT,2.0,2.0,,,13,Q
LEC,1.0,SOFT,3.0,3.0,,,13,Q
LEC,1.0,SOFT,4.0,4.0,,,13,Q
LEC,1.0,SOFT,5.0,5.0,,,13,Q
LEC,1.0,SOFT,6.0,6.0,,,13,Q
LEC,1.0,SOFT,7.0,7.0,0 days 00:27:35.007000,,13,Q
LEC,2.0,SOFT,8.0,8.0,,0 days 00:40:37.499000,13,Q
LEC,2.0,SOFT,9.0,9.0,,,13,Q
LEC,2.0,SOFT,10.0,10.0,0 days 00:45:21.141000,,13,Q
LEC,3.0,SOFT,1.0,11.0,,0 days 00:54:57.804000,13,Q
LEC,3.0,SOFT,2.0,12.0,,,13,Q
