Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
NOR,1.0,SOFT,4.0,1.0,,0 days 00:14:17.483000,19,Q
NOR,1.0,SOFT,5.0,2.0,,,19,Q
NOR,1.0,SOFT,6.0,3.0,0 days 00:19:48.282000,,19,Q
NOR,2.0,SOFT,1.0,4.0,,0 days 00:22:37.223000,19,Q
NOR,2.0,SOFT,2.0,5.0,,,19,Q
NOR,2.0,SOFT,3.0,6.0,,,19,Q
NOR,2.0,SOFT,4.0,7.0,,,19,Q
NOR,2.0,SOFT,5.0,8.0,0 days 00:32:23.472000,,19,Q
NOR,3.0,SOFT,1.0,9.0,,0 days 00:41:20.470000,19,Q
NOR,3.0,SOFT,2.0,10.0,,,19,Q
NOR,3.0,SOFT,3.0,11.0,0 days 00:46:51.562000,,19,Q
NOR,4.0,SOFT,1.0,12.0,,0 days 01:01:43.663000,19,Q
NOR,4.0,SOFT,2.0,13.0,,,19,Q
NOR,4.0,SOFT,3.0,14.0,0 days 01:07:16.268000,,19,Q
NOR,5.0,SOFT,1.0,15.0,,0 days 01:10:35.161000,19,Q
NOR,5.0,SOFT,2.0,16.0,0 days 01:14:14.368000,,19,Q
VER,1.0,SOFT,4.0,1.0,,0 days 00:17:05.981000,19,Q
VER,1.0,SOFT,5.0,2.0,,,19,Q
VER,1.0,SOFT,6.0,3.0,0 days 00:22:31.681000,,19,Q
VER,2.0,SOFT,1.0,4.0,,0 days 00:26:01.909000,19,Q
VER,2.0,SOFT,2.0,5.0,,,19,Q
VER,2.0,SOFT,3.0,6.0,0 days 00:31:36.215000,,19,Q
VER,3.0,SOFT,4.0,7.0,,0 days 00:38:54.229000,19,Q
VER,3.0,SOFT,5.0,8.0,,,19,Q
VER,3.0,SOFT,6.0,9.0,0 days 00:44:15.051000,,19,Q
VER,4.0,SOFT,1.0,10.0,,0 days 00:47:37.339000,19,Q
VER,4.0,SOFT,2.0,11.0,,,19,Q
VER,4.0,SOFT,3.0,12.0,0 days 00:53:11.292000,,19,Q
VER,5.0,SOFT,1.0,13.0,,0 days 01:02:42.950000,19,Q
VER,5.0,SOFT,2.0,14.0,,,19,Q
VER,5.0,SOFT,3.0,15.0,0 days 01:08:02.282000,,19,Q
VER,6.0,SOFT,1.0,16.0,,0 days 01:10:19.483000,19,Q
VER,6.0,SOFT,2.0,17.0,0 days 01:14:00.927000,,19,Q
SAI,1.0,SOFT,4.0,1.0,,0 days 00:14:26.852000,19,Q
SAI,1.0,SOFT,5.0,2.0,,,19,Q
SAI,1.0,SOFT,6.0,3.0,0 days 00:19:59.784000,,19,Q
SAI,2.0,SOFT,1.0,4.0,,0 days 00:21:52.280000,19,Q
SAI,2.0,SOFT,2.0,5.0,,,19,Q
SAI,2.0,SOFT,3.0,6.0,,,19,Q
SAI,2.0,SOFT,4.0,7.0,,,19,Q
SAI,2.0,SOFT,5.0,8.0,0 days 00:31:57.689000,,19,Q
SAI,3.0,SOFT,6.0,9.0,,0 days 00:39:22.229000,19,Q
SAI,3.0,SOFT,7.0,10.0,,,19,Q
SAI,3.0,SOFT,8.0,11.0,0 days 00:45:12.762000,,19,Q
SAI,4.0,SOFT,1.0,12.0,,0 days 00:49:09.439000,19,Q
SAI,4.0,SOFT,2.0,13.0,,,19,Q
SAI,4.0,SOFT,3.0,14.0,0 days 00:55:02.861000,,19,Q
SAI,5.0,SOFT,1.0,15.0,,0 days 01:01:56.483000,19,Q
SAI,5.0,SOFT,2.0,16.0,,,19,Q
SAI,5.0,SOFT,3.0,17.0,0 days 01:07:35.078000,,19,Q
SAI,6.0,SOFT,1.0,18.0,,0 days 01:10:39.157000,19,Q
SAI,6.0,SOFT,2.0,19.0,0 days 01:14:25.397000,,19,Q
LEC,1.0,SOFT,4.0,1.0,,0 days 00:14:33.964000,19,Q
LEC,1.0,SOFT,5.0,2.0,,,19,Q
LEC,1.0,SOFT,6.0,3.0,0 days 00:20:01.189000,,19,Q
LEC,2.0,SOFT,1.0,4.0,,0 days 00:22:03.157000,19,Q
LEC,2.0,SOFT,2.0,5.0,,,19,Q
LEC,2.0,SOFT,3.0,6.0,,,19,Q
LEC,2.0,SOFT,4.0,7.0,,,19,Q
LEC,2.0,SOFT,5.0,8.0,,,19,Q
LEC,2.0,SOFT,6.0,9.0,0 days 00:33:59.996000,,19,Q
LEC,3.0,SOFT,7.0,10.0,,0 days 00:39:40.941000,19,Q
LEC,3.0,SOFT,8.0,11.0,,,19,Q
LEC,3.0,SOFT,9.0,12.0,0 days 00:45:23.323000,,19,Q
LEC,4.0,SOFT,1.0,13.0,,0 days 00:48:23.081000,19,Q
LEC,4.0,SOFT,2.0,14.0,,,19,Q
LEC,4.0,SOFT,3.0,15.0,0 days 00:53:53.828000,,19,Q
LEC,5.0,SOFT,1.0,16.0,,0 days 01:02:05.460000,19,Q
LEC,5.0,SOFT,2.0,17.0,,,19,Q
LEC,5.0,SOFT,3.0,18.0,0 days 01:07:37.700000,,19,Q
LEC,6.0,SOFT,1.0,19.0,,0 days 01:10:46.984000,19,Q
LEC,6.0,SOFT,2.0,20.0,0 days 01:14:38.491000,,19,Q
PIA,1.0,SOFT,6.0,1.0,,0 days 00:14:46.683000,19,Q
PIA,1.0,SOFT,7.0,2.0,,,19,Q
PIA,1.0,SOFT,8.0,3.0,0 days 00:20:15.459000,,19,Q
PIA,2.0,SOFT,1.0,4.0,,0 days 00:22:19.159000,19,Q
PIA,2.0,SOFT,2.0,5.0,,,19,Q
PIA,2.0,SOFT,3.0,6.0,,,19,Q
PIA,2.0,SOFT,4.0,7.0,,,19,Q
PIA,2.0,SOFT,5.0,8.0,,,19,Q
PIA,2.0,SOFT,6.0,9.0,0 days 00:34:04.118000,,19,Q
PIA,3.0,SOFT,1.0,10.0,,0 days 00:41:27.802000,19,Q
PIA,3.0,SOFT,2.0,11.0,,,19,Q
PIA,3.0,SOFT,3.0,12.0,0 days 00:47:09.026000,,19,Q
PIA,4.0,SOFT,1.0,13.0,,0 days 00:49:54.430000,19,Q
PIA,4.0,SOFT,2.0,14.0,0 days 00:53:50.449000,,19,Q
PIA,5.0,SOFT,1.0,15.0,,0 days 01:01:50.387000,19,Q
PIA,5.0,SOFT,2.0,16.0,,,19,Q
PIA,5.0,SOFT,3.0,17.0,0 days 01:07:25.831000,,19,Q
PIA,6.0,SOFT,1.0,18.0,,0 days 01:10:57.876000,19,Q
PIA,6.0,SOFT,2.0,19.0,0 days 01:14:53.679000,,19,Q
RUS,1.0,SOFT,4.0,1.0,,0 days 00:18:48.546000,19,Q
RUS,1.0,SOFT,5.0,2.0,,,19,Q
RUS,1.0,SOFT,6.0,3.0,0 days 00:24:28.265000,,19,Q
RUS,2.0,SOFT,1.0,4.0,,0 days 00:26:07.640000,19,Q
RUS,2.0,SOFT,2.0,5.0,,,19,Q
RUS,2.0,SOFT,3.0,6.0,0 days 00:32:05.582000,,19,Q
RUS,3.0,SOFT,1.0,7.0,,0 days 00:41:43.584000,19,Q
RUS,3.0,SOFT,2.0,8.0,,,19,Q
RUS,3.0,SOFT,3.0,9.0,0 days 00:47:23.207000,,19,Q
RUS,4.0,SOFT,1.0,10.0,0 days 00:52:55.297000,0 days 00:50:43.062000,19,Q
RUS,5.0,SOFT,2.0,11.0,,0 days 01:01:31.068000,19,Q
RUS,5.0,SOFT,3.0,12.0,,,19,Q
RUS,5.0,SOFT,4.0,13.0,0 days 01:07:11.119000,,19,Q
RUS,6.0,SOFT,1.0,14.0,,0 days 01:09:40.474000,19,Q
GAS,1.0,SOFT,1.0,1.0,,0 days 00:13:33.114000,19,Q
GAS,1.0,SOFT,2.0,2.0,,,19,Q
GAS,1.0,SOFT,3.0,3.0,0 days 00:18:57.185000,,19,Q
GAS,2.0,SOFT,4.0,4.0,,0 days 00:19:26.068000,19,Q
GAS,2.0,SOFT,5.0,5.0,,,19,Q
GAS,2.0,SOFT,6.0,6.0,0 days 00:25:05.111000,,19,Q
GAS,3.0,SOFT,1.0,7.0,,0 days 00:28:23.593000,19,Q
GAS,3.0,SOFT,2.0,8.0,,,19,Q
GAS,3.0,SOFT,3.0,9.0,0 days 00:34:16.894000,,19,Q
GAS,4.0,SOFT,1.0,10.0,,0 days 00:39:34.179000,19,Q
GAS,4.0,SOFT,2.0,11.0,,,19,Q
GAS,4.0,SOFT,3.0,12.0,0 days 00:45:22.131000,,19,Q
GAS,5.0,SOFT,1.0,13.0,,0 days 00:49:04.581000,19,Q
GAS,5.0,SOFT,2.0,14.0,,,19,Q
GAS,5.0,SOFT,3.0,15.0,0 days 00:54:50.266000,,19,Q
GAS,6.0,SOFT,4.0,16.0,,0 days 01:02:21.536000,19,Q
GAS,6.0,SOFT,5.0,17.0,,,19,Q
GAS,6.0,SOFT,6.0,18.0,0 days 01:07:57.890000,,19,Q
GAS,7.0,SOFT,4.0,19.0,,0 days 01:09:52.835000,19,Q
GAS,7.0,SOFT,5.0,20.0,0 days 01:13:46.605000,,19,Q
ALO,1.0,SOFT,4.0,1.0,,0 days 00:13:55.626000,19,Q
ALO,1.0,SOFT,5.0,2.0,,,19,Q
ALO,1.0,SOFT,6.0,3.0,0 days 00:19:09.601000,,19,Q
ALO,2.0,SOFT,1.0,4.0,,0 days 00:20:06.046000,19,Q
ALO,2.0,SOFT,2.0,5.0,,,19,Q
ALO,2.0,SOFT,3.0,6.0,0 days 00:25:39.642000,,19,Q
ALO,3.0,SOFT,1.0,7.0,,0 days 00:27:43.992000,19,Q
ALO,3.0,SOFT,2.0,8.0,,,19,Q
ALO,3.0,SOFT,3.0,9.0,0 days 00:33:36.624000,,19,Q
ALO,4.0,SOFT,1.0,10.0,,0 days 00:40:25.350000,19,Q
ALO,4.0,SOFT,2.0,11.0,,,19,Q
ALO,4.0,SOFT,3.0,12.0,0 days 00:46:11.325000,,19,Q
ALO,5.0,SOFT,1.0,13.0,,0 days 00:50:13.369000,19,Q
ALO,5.0,SOFT,2.0,14.0,,,19,Q
ALO,5.0,SOFT,3.0,15.0,0 days 00:56:12.224000,,19,Q
ALO,6.0,SOFT,1.0,16.0,,0 days 01:06:28.648000,19,Q
ALO,6.0,SOFT,2.0,17.0,,,19,Q
