Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Round,Session
0 days 00:00:45.081000,18.6,54.0,1024.0,False,34.5,144,1.6,3,Q
0 days 00:01:45.084000,18.6,54.0,1024.0,False,34.7,0,1.0,3,Q
0 days 00:02:45.111000,18.7,54.0,1024.0,False,34.8,257,1.1,3,Q
0 days 00:03:45.122000,18.8,54.0,1024.0,True,34.5,173,1.6,3,Q
0 days 00:04:45.122000,18.8,54.0,1024.0,True,34.5,165,1.5,3,Q
0 days 00:05:45.133000,18.8,53.0,1024.0,False,34.9,151,1.8,3,Q
0 days 00:06:45.125000,18.9,54.0,1024.0,False,34.6,136,2.2,3,Q
0 days 00:07:45.127000,18.8,54.0,1024.0,False,34.6,314,0.9,3,Q
0 days 00:08:45.129000,18.7,54.0,1024.0,False,34.6,268,0.5,3,Q
0 days 00:09:45.122000,18.8,54.0,1024.0,False,34.6,167,1.0,3,Q
0 days 00:10:45.131000,18.7,55.0,1024.1,False,34.8,159,1.4,3,Q
0 days 00:11:45.136000,18.7,55.0,1023.9,False,34.8,151,2.6,3,Q
0 days 00:12:45.153000,18.7,55.0,1023.9,False,35.1,130,1.8,3,Q
0 days 00:13:45.149000,18.7,54.0,1024.0,False,35.1,100,1.3,3,Q
0 days 00:14:45.137000,18.8,54.0,1024.2,False,35.1,165,2.3,3,Q
0 days 00:15:45.148000,18.9,53.0,1024.0,False,34.7,220,1.0,3,Q
0 days 00:16:45.155000,18.8,53.0,1023.9,False,34.9,152,1.0,3,Q
0 days 00:17:45.158000,18.8,54.0,1024.0,False,34.9,142,1.4,3,Q
0 days 00:18:45.160000,18.8,54.0,1024.0,False,34.9,141,1.5,3,Q
0 days 00:19:45.186000,18.8,54.0,1023.9,False,35.2,185,1.9,3,Q
0 days 00:20:45.188000,18.8,53.0,1023.9,False,35.2,126,2.3,3,Q
0 days 00:21:45.183000,18.8,53.0,1023.8,False,35.1,140,1.4,3,Q
0 days 00:22:45.199000,18.8,53.0,1023.9,False,35.0,125,1.6,3,Q
0 days 00:23:45.193000,18.8,53.0,1024.0,False,35.0,138,1.4,3,Q
0 days 00:24:45.189000,18.8,53.0,1024.0,False,35.0,161,1.6,3,Q
0 days 00:25:45.194000,18.8,54.0,1024.0,False,34.7,151,1.0,3,Q
0 days 00:26:45.196000,18.8,54.0,1024.0,False,35.0,140,0.8,3,Q
0 days 00:27:45.191000,18.9,53.0,1024.0,False,35.0,169,1.8,3,Q
0 days 00:28:45.202000,18.9,53.0,1024.0,False,34.9,9,1.5,3,Q
0 days 00:29:45.220000,18.8,52.0,1023.9,False,35.0,175,1.5,3,Q
0 days 00:30:45.213000,18.8,53.0,1024.0,False,34.9,157,2.7,3,Q
0 days 00:31:45.224000,18.8,54.0,1024.0,False,34.5,205,0.7,3,Q
0 days 00:32:45.243000,18.8,54.0,1024.0,False,34.3,249,1.6,3,Q
0 days 00:33:45.259000,18.8,54.0,1024.0,False,34.6,141,1.5,3,Q
0 days 00:34:45.264000,18.9,54.0,1024.1,False,34.9,192,1.1,3,Q
0 days 00:35:45.261000,18.9,54.0,1024.1,False,34.7,48,1.8,3,Q
0 days 00:36:45.277000,18.9,55.0,1024.1,False,34.7,112,1.5,3,Q
0 days 00:37:45.276000,18.9,55.0,1023.9,False,34.7,147,2.3,3,Q
0 days 00:38:45.274000,18.7,55.0,1024.0,False,34.7,142,1.7,3,Q
0 days 00:39:45.274000,18.6,55.0,1024.0,False,34.4,17,2.4,3,Q
0 days 00:40:45.273000,18.5,54.0,1024.1,False,34.9,87,1.9,3,Q
