Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
VER,1.0,SOFT,4.0,1.0,,0 days 00:18:47.943000,6,Q
VER,1.0,SOFT,5.0,2.0,,,6,Q
VER,1.0,SOFT,6.0,3.0,0 days 00:24:02.763000,,6,Q
VER,2.0,SOFT,1.0,4.0,,0 days 00:27:14.210000,6,Q
VER,2.0,SOFT,2.0,5.0,,,6,Q
VER,2.0,SOFT,3.0,6.0,0 days 00:32:43.075000,,6,Q
VER,3.0,SOFT,4.0,7.0,,0 days 00:40:40.026000,6,Q
VER,3.0,SOFT,5.0,8.0,,,6,Q
VER,3.0,SOFT,6.0,9.0,0 days 00:45:46.130000,,6,Q
VER,4.0,SOFT,1.0,10.0,,0 days 00:50:15.117000,6,Q
VER,4.0,SOFT,2.0,11.0,,,6,Q
VER,4.0,SOFT,3.0,12.0,0 days 00:55:25.670000,,6,Q
VER,5.0,SOFT,1.0,13.0,,0 days 01:01:54.177000,6,Q
VER,5.0,SOFT,2.0,14.0,,,6,Q
VER,5.0,SOFT,3.0,15.0,0 days 01:07:05.148000,,6,Q
VER,6.0,SOFT,1.0,16.0,,0 days 01:10:01.885000,6,Q
VER,6.0,SOFT,2.0,17.0,,,6,Q
VER,6.0,SOFT,3.0,18.0,0 days 01:15:25.963000,,6,Q
LEC,1.0,SOFT,3.0,1.0,,0 days 00:14:43.306000,6,Q
LEC,1.0,SOFT,4.0,2.0,,,6,Q
LEC,1.0,SOFT,5.0,3.0,0 days 00:19:54.158000,,6,Q
LEC,2.0,SOFT,1.0,4.0,,0 days 00:21:21.462000,6,Q
LEC,2.0,SOFT,2.0,5.0,,,6,Q
LEC,2.0,SOFT,3.0,6.0,0 days 00:26:39.930000,,6,Q
LEC,3.0,SOFT,1.0,7.0,,0 days 00:27:06.319000,6,Q
LEC,3.0,SOFT,2.0,8.0,,,6,Q
LEC,3.0,SOFT,3.0,9.0,0 days 00:32:32.685000,,6,Q
LEC,4.0,SOFT,1.0,10.0,,0 days 00:41:22.313000,6,Q
LEC,4.0,SOFT,2.0,11.0,,,6,Q
LEC,4.0,SOFT,3.0,12.0,0 days 00:46:35.443000,,6,Q
LEC,5.0,SOFT,1.0,13.0,,0 days 00:49:33.946000,6,Q
LEC,5.0,SOFT,2.0,14.0,,,6,Q
LEC,5.0,SOFT,3.0,15.0,0 days 00:54:57.693000,,6,Q
LEC,6.0,SOFT,1.0,16.0,,0 days 01:02:19.938000,6,Q
LEC,6.0,SOFT,2.0,17.0,,,6,Q
LEC,6.0,SOFT,3.0,18.0,0 days 01:07:24.673000,,6,Q
LEC,7.0,SOFT,1.0,19.0,,0 days 01:10:30.723000,6,Q
LEC,7.0,SOFT,2.0,20.0,,,6,Q
LEC,7.0,SOFT,3.0,21.0,0 days 01:15:52.372000,,6,Q
SAI,1.0,SOFT,9.0,1.0,,0 days 00:14:14.787000,6,Q
SAI,1.0,SOFT,10.0,2.0,,,6,Q
SAI,1.0,SOFT,11.0,3.0,0 days 00:19:35.601000,,6,Q
SAI,2.0,SOFT,3.0,4.0,,0 days 00:20:50.423000,6,Q
SAI,2.0,SOFT,4.0,5.0,,,6,Q
SAI,2.0,SOFT,5.0,6.0,0 days 00:26:19.326000,,6,Q
SAI,3.0,SOFT,6.0,7.0,,0 days 00:29:01.718000,6,Q
SAI,3.0,SOFT,7.0,8.0,,,6,Q
SAI,3.0,SOFT,8.0,9.0,0 days 00:34:13.049000,,6,Q
SAI,4.0,SOFT,1.0,10.0,,0 days 00:41:20.200000,6,Q
SAI,4.0,SOFT,2.0,11.0,,,6,Q
SAI,4.0,SOFT,3.0,12.0,0 days 00:46:46.451000,,6,Q
SAI,5.0,SOFT,1.0,13.0,,0 days 00:49:46.202000,6,Q
SAI,5.0,SOFT,2.0,14.0,,,6,Q
SAI,5.0,SOFT,3.0,15.0,0 days 00:55:19.660000,,6,Q
SAI,6.0,SOFT,1.0,16.0,,0 days 01:02:22.906000,6,Q
SAI,6.0,SOFT,2.0,17.0,,,6,Q
SAI,6.0,SOFT,3.0,18.0,0 days 01:07:32.876000,,6,Q
SAI,7.0,SOFT,1.0,19.0,,0 days 01:10:34.380000,6,Q
SAI,7.0,SOFT,2.0,20.0,,,6,Q
SAI,7.0,SOFT,3.0,21.0,0 days 01:16:04.860000,,6,Q
PER,1.0,SOFT,4.0,1.0,,0 days 00:15:13.565000,6,Q
PER,1.0,SOFT,5.0,2.0,,,6,Q
PER,1.0,SOFT,6.0,3.0,0 days 00:20:25.317000,,6,Q
PER,2.0,SOFT,1.0,4.0,,0 days 00:22:59.011000,6,Q
PER,2.0,SOFT,2.0,5.0,,,6,Q
PER,2.0,SOFT,3.0,6.0,0 days 00:27:56.886000,,6,Q
PER,3.0,SOFT,4.0,7.0,,0 days 00:40:26.683000,6,Q
PER,3.0,SOFT,5.0,8.0,,,6,Q
PER,3.0,SOFT,6.0,9.0,0 days 00:45:44.522000,,6,Q
PER,4.0,SOFT,1.0,10.0,,0 days 00:49:15.234000,6,Q
PER,4.0,SOFT,2.0,11.0,,,6,Q
PER,4.0,SOFT,3.0,12.0,0 days 00:54:39.077000,,6,Q
PER,5.0,SOFT,1.0,13.0,,0 days 01:01:45.473000,6,Q
PER,5.0,SOFT,2.0,14.0,,,6,Q
PER,5.0,SOFT,3.0,15.0,0 days 01:06:56.316000,,6,Q
PER,6.0,SOFT,1.0,16.0,,0 days 01:09:45.187000,6,Q
PER,6.0,SOFT,2.0,17.0,,,6,Q
PER,6.0,SOFT,3.0,18.0,0 days 01:15:14.683000,,6,Q
NOR,1.0,SOFT,3.0,1.0,,0 days 00:14:58.890000,6,Q
NOR,1.0,SOFT,4.0,2.0,,,6,Q
NOR,1.0,SOFT,5.0,3.0,0 days 00:20:05.713000,,6,Q
NOR,2.0,SOFT,1.0,4.0,,0 days 00:21:53.714000,6,Q
NOR,2.0,SOFT,2.0,5.0,,,6,Q
NOR,2.0,SOFT,3.0,6.0,,,6,Q
NOR,2.0,SOFT,4.0,7.0,,,6,Q
NOR,2.0,SOFT,5.0,8.0,,,6,Q
NOR,2.0,SOFT,6.0,9.0,0 days 00:32:28.306000,,6,Q
NOR,3.0,SOFT,1.0,10.0,,0 days 00:40:50.506000,6,Q
NOR,3.0,SOFT,2.0,11.0,,,6,Q
NOR,3.0,SOFT,3.0,12.0,0 days 00:46:07.854000,,6,Q
NOR,4.0,MEDIUM,4.0,13.0,,0 days 00:50:52.577000,6,Q
NOR,4.0,MEDIUM,5.0,14.0,,,6,Q
NOR,4.0,MEDIUM,6.0,15.0,0 days 00:55:54.831000,,6,Q
NOR,5.0,MEDIUM,1.0,16.0,,0 days 01:02:10.053000,6,Q
NOR,5.0,MEDIUM,2.0,17.0,,,6,Q
NOR,5.0,MEDIUM,3.0,18.0,0 days 01:07:23.083000,,6,Q
NOR,6.0,SOFT,1.0,19.0,,0 days 01:10:17.346000,6,Q
NOR,6.0,SOFT,2.0,20.0,,,6,Q
