Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
NOR,1.0,SOFT,1.0,1.0,,0 days 00:15:24.715000,18,Q
NOR,1.0,SOFT,2.0,2.0,,,18,Q
NOR,1.0,SOFT,3.0,3.0,0 days 00:21:12.899000,,18,Q
NOR,2.0,SOFT,4.0,4.0,,0 days 00:24:57.106000,18,Q
NOR,2.0,SOFT,5.0,5.0,,,18,Q
NOR,2.0,SOFT,6.0,6.0,0 days 00:30:27.100000,,18,Q
NOR,3.0,SOFT,1.0,7.0,,0 days 00:39:45.682000,18,Q
NOR,3.0,SOFT,2.0,8.0,,,18,Q
NOR,3.0,SOFT,3.0,9.0,0 days 00:45:24.502000,,18,Q
NOR,4.0,SOFT,1.0,10.0,,0 days 00:51:02.439000,18,Q
NOR,4.0,SOFT,2.0,11.0,0 days 00:55:00.637000,,18,Q
NOR,5.0,SOFT,1.0,12.0,,0 days 01:02:14.337000,18,Q
NOR,5.0,SOFT,2.0,13.0,0 days 01:06:15.074000,,18,Q
NOR,6.0,SOFT,1.0,14.0,,0 days 01:25:01.792000,18,Q
NOR,6.0,SOFT,2.0,15.0,,,18,Q
NOR,6.0,SOFT,3.0,16.0,0 days 01:30:50.391000,,18,Q
VER,1.0,SOFT,1.0,1.0,,0 days 00:19:16.759000,18,Q
VER,1.0,SOFT,2.0,2.0,,,18,Q
VER,1.0,SOFT,3.0,3.0,0 days 00:24:52.103000,,18,Q
VER,2.0,SOFT,1.0,4.0,,0 days 00:27:14.065000,18,Q
VER,2.0,SOFT,2.0,5.0,,,18,Q
VER,2.0,SOFT,3.0,6.0,0 days 00:32:55.526000,,18,Q
VER,3.0,SOFT,4.0,7.0,,0 days 00:38:55.263000,18,Q
VER,3.0,SOFT,5.0,8.0,,,18,Q
VER,3.0,SOFT,6.0,9.0,0 days 00:44:11.435000,,18,Q
VER,4.0,SOFT,1.0,10.0,,0 days 00:47:07.121000,18,Q
VER,4.0,SOFT,2.0,11.0,,,18,Q
VER,4.0,SOFT,3.0,12.0,0 days 00:52:28.140000,,18,Q
VER,5.0,SOFT,1.0,13.0,,0 days 01:02:01.396000,18,Q
VER,5.0,SOFT,2.0,14.0,,,18,Q
VER,5.0,SOFT,3.0,15.0,0 days 01:08:03.208000,,18,Q
VER,6.0,SOFT,1.0,16.0,,0 days 01:26:23.684000,18,Q
VER,6.0,SOFT,2.0,17.0,,,18,Q
VER,6.0,SOFT,3.0,18.0,0 days 01:31:54.922000,,18,Q
HAM,1.0,SOFT,1.0,1.0,,0 days 00:18:05.995000,18,Q
HAM,1.0,SOFT,2.0,2.0,,,18,Q
HAM,1.0,SOFT,3.0,3.0,0 days 00:23:39.906000,,18,Q
HAM,2.0,SOFT,1.0,4.0,,0 days 00:26:54.606000,18,Q
HAM,2.0,SOFT,2.0,5.0,,,18,Q
HAM,2.0,SOFT,3.0,6.0,0 days 00:32:25.708000,,18,Q
HAM,3.0,SOFT,1.0,7.0,,0 days 00:42:45.071000,18,Q
HAM,3.0,SOFT,2.0,8.0,,,18,Q
HAM,3.0,SOFT,3.0,9.0,0 days 00:48:13.495000,,18,Q
HAM,4.0,SOFT,4.0,10.0,,0 days 00:51:09.908000,18,Q
HAM,4.0,SOFT,5.0,11.0,0 days 00:55:10.848000,,18,Q
HAM,5.0,SOFT,1.0,12.0,,0 days 01:02:22.249000,18,Q
HAM,5.0,SOFT,2.0,13.0,0 days 01:06:33.270000,,18,Q
HAM,6.0,SOFT,1.0,14.0,,0 days 01:25:50.992000,18,Q
HAM,6.0,SOFT,2.0,15.0,,,18,Q
HAM,6.0,SOFT,3.0,16.0,0 days 01:31:43.861000,,18,Q
RUS,1.0,SOFT,1.0,1.0,,0 days 00:18:13.320000,18,Q
RUS,1.0,SOFT,2.0,2.0,,,18,Q
RUS,1.0,SOFT,3.0,3.0,0 days 00:23:58.587000,,18,Q
RUS,2.0,SOFT,1.0,4.0,,0 days 00:27:00.746000,18,Q
RUS,2.0,SOFT,2.0,5.0,,,18,Q
RUS,2.0,SOFT,3.0,6.0,0 days 00:32:42.059000,,18,Q
RUS,3.0,SOFT,1.0,7.0,,0 days 00:42:53.284000,18,Q
RUS,3.0,SOFT,2.0,8.0,,,18,Q
RUS,3.0,SOFT,3.0,9.0,0 days 00:48:30.993000,,18,Q
RUS,4.0,SOFT,4.0,10.0,,0 days 00:51:25.515000,18,Q
RUS,4.0,SOFT,5.0,11.0,,,18,Q
RUS,4.0,SOFT,6.0,12.0,0 days 00:56:56.234000,,18,Q
RUS,5.0,SOFT,1.0,13.0,,0 days 01:02:48.374000,18,Q
