Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
VER,1.0,SOFT,4.0,1.0,,0 days 00:17:10.473000,23,Q
VER,1.0,SOFT,5.0,2.0,,,23,Q
VER,1.0,SOFT,6.0,3.0,0 days 00:21:41.142000,,23,Q
VER,2.0,SOFT,1.0,4.0,,0 days 00:25:07.302000,23,Q
VER,2.0,SOFT,2.0,5.0,,,23,Q
VER,2.0,SOFT,3.0,6.0,,,23,Q
VER,2.0,SOFT,4.0,7.0,0 days 00:31:46.187000,,23,Q
VER,3.0,SOFT,5.0,8.0,,0 days 00:40:42.419000,23,Q
VER,3.0,SOFT,6.0,9.0,,,23,Q
VER,3.0,SOFT,7.0,10.0,0 days 00:45:10.372000,,23,Q
VER,4.0,SOFT,1.0,11.0,,0 days 00:47:32.257000,23,Q
VER,4.0,SOFT,2.0,12.0,,,23,Q
VER,4.0,SOFT,3.0,13.0,,,23,Q
VER,4.0,SOFT,4.0,14.0,,,23,Q
VER,4.0,SOFT,5.0,15.0,,,23,Q
VER,4.0,SOFT,6.0,16.0,0 days 00:57:14.571000,,23,Q
VER,5.0,SOFT,1.0,17.0,,0 days 01:06:50.817000,23,Q
VER,5.0,SOFT,2.0,18.0,,,23,Q
VER,5.0,SOFT,3.0,19.0,,,23,Q
VER,5.0,SOFT,4.0,20.0,,,23,Q
VER,5.0,SOFT,5.0,21.0,,,23,Q
VER,5.0,SOFT,6.0,22.0,0 days 01:17:19.741000,,23,Q
RUS,1.0,SOFT,7.0,1.0,0 days 00:16:32.558000,0 days 00:14:46.017000,23,Q
RUS,2.0,SOFT,7.0,2.0,,0 days 00:17:15.133000,23,Q
RUS,2.0,SOFT,8.0,3.0,,,23,Q
RUS,2.0,SOFT,9.0,4.0,,,23,Q
RUS,2.0,SOFT,10.0,5.0,0 days 00:23:34.565000,,23,Q
RUS,2.0,SOFT,11.0,6.0,,0 days 00:25:23.881000,23,Q
RUS,2.0,SOFT,12.0,7.0,,,23,Q
RUS,2.0,SOFT,13.0,8.0,,,23,Q
RUS,2.0,SOFT,14.0,9.0,,,23,Q
RUS,2.0,SOFT,15.0,10.0,,,23,Q
RUS,2.0,SOFT,16.0,11.0,0 days 00:35:34.720000,,23,Q
RUS,3.0,SOFT,4.0,12.0,,0 days 00:39:46.571000,23,Q
RUS,3.0,SOFT,5.0,13.0,,,23,Q
RUS,3.0,SOFT,6.0,14.0,0 days 00:44:07.878000,,23,Q
RUS,4.0,SOFT,1.0,15.0,,0 days 00:46:40.431000,23,Q
RUS,4.0,SOFT,2.0,16.0,,,23,Q
RUS,4.0,SOFT,3.0,17.0,0 days 00:51:21.656000,,23,Q
RUS,5.0,SOFT,4.0,18.0,,0 days 00:51:46.232000,23,Q
RUS,5.0,SOFT,5.0,19.0,,,23,Q
RUS,5.0,SOFT,6.0,20.0,0 days 00:56:54.611000,,23,Q
RUS,6.0,SOFT,1.0,21.0,,0 days 01:02:52.764000,23,Q
RUS,6.0,SOFT,2.0,22.0,,,23,Q
RUS,6.0,SOFT,3.0,23.0,,,23,Q
RUS,6.0,SOFT,4.0,24.0,0 days 01:09:04.659000,,23,Q
RUS,7.0,SOFT,1.0,25.0,,0 days 01:10:43.122000,23,Q
RUS,7.0,SOFT,2.0,26.0,,,23,Q
RUS,7.0,SOFT,3.0,27.0,,,23,Q
RUS,7.0,SOFT,4.0,28.0,0 days 01:17:21.994000,,23,Q
NOR,1.0,SOFT,5.0,1.0,,0 days 00:16:53.419000,23,Q
NOR,1.0,SOFT,6.0,2.0,,,23,Q
NOR,1.0,SOFT,7.0,3.0,,,23,Q
NOR,1.0,SOFT,8.0,4.0,,,23,Q
NOR,1.0,SOFT,9.0,5.0,0 days 00:24:52.324000,,23,Q
NOR,2.0,SOFT,1.0,6.0,,0 days 00:26:32.579000,23,Q
NOR,2.0,SOFT,2.0,7.0,,,23,Q
NOR,2.0,SOFT,3.0,8.0,,,23,Q
NOR,2.0,SOFT,4.0,9.0,0 days 00:32:48.427000,,23,Q
NOR,3.0,SOFT,5.0,10.0,,0 days 00:41:12.363000,23,Q
NOR,3.0,SOFT,6.0,11.0,,,23,Q
NOR,3.0,SOFT,7.0,12.0,0 days 00:45:39.214000,,23,Q
NOR,4.0,SOFT,1.0,13.0,,0 days 00:48:17.988000,23,Q
NOR,4.0,SOFT,2.0,14.0,,,23,Q
NOR,4.0,SOFT,3.0,15.0,0 days 00:52:46.431000,,23,Q
